,contamination,verbose,score
0,0.1,1,0.482
1,0.03162277660168379,1,0.515
2,0.01,1,0.558
3,0.0031622776601683794,1,0.597
4,0.001,1,0.598
5,0.00031622776601683794,1,0.581
6,0.0001,1,0.5
7,3.1622776601683795e-05,1,0.5
8,1e-05,1,0.5
